action_name,count,mean,std
mutate_string,16810,-0.02147531231409875,0.14941283780377657
mutate_template_injection,1215,-0.08148148148148149,0.3258916716616571
mutate_url_path,1252,-0.19488817891373802,0.39627288793792903
mutate_query_values,447,-0.25727069351230425,0.4376196063183998
mutate_content_type_vs_body,445,-0.2696629213483146,0.4442841429036047
set_empty_values,430,-0.3023255813953488,0.45980048987170263
set_large_value,457,-0.3172866520787746,0.4659301097930816
inject_sql_payload,461,-0.3188720173535792,0.46654561603952943
type_flip,432,-0.3194444444444444,0.4668019912067495
flip_boolean_flags,380,-0.32105263157894737,0.4674965013269629
fuzz_ids,352,-0.32670454545454547,0.469675821014215
duplicate_field,463,-0.3282937365010799,0.4701002749525543
mutate_path_ids,363,-0.33608815426997246,0.47302145413792884
mutate_query_params,437,-0.36384439359267734,0.4816560247623049
mutate_headers,361,-0.3684210526315789,0.48304589153964794
mutate_method,423,-0.3877068557919622,0.4878040445719513
remove_field,420,-0.4023809523809524,0.49096276525600796
