action_name,count,mean,std
mutate_method,1418,-0.09449929478138223,0.5228289414096238
mutate_url_path,1178,-0.1774193548387097,0.4980159060549131
mutate_string,4306,-0.30167208546214586,0.5233520035547577
mutate_query_values,604,-0.3294701986754967,0.6059892211022951
set_empty_values,779,-0.34403080872913994,0.7114557862654064
remove_field,1181,-0.4987298899237934,0.6128898585175252
inject_sql_payload,835,-0.4994011976047904,0.5591507141206935
mutate_path_ids,441,-0.5147392290249433,0.5919040827765814
mutate_content_type_vs_body,430,-0.5232558139534884,0.5092785743985411
fuzz_ids,438,-0.5776255707762558,0.6067143960198853
mutate_template_injection,451,-0.5787139689578714,0.5734024262669971
type_flip,655,-0.6366412213740458,0.520997353775149
duplicate_field,817,-0.642594859241126,0.5281739943028757
set_large_value,735,-0.6598639455782312,0.5411739011382933
mutate_headers,497,-0.7002012072434608,0.48428942767378697
flip_boolean_flags,410,-0.724390243902439,0.48411464210623906
mutate_query_params,497,-0.7303822937625755,0.49160539218090454
